ingredient,cmr,product_type
THIOGLYCOLIC ACID,,Hair Products
THIOGLYCOLIC ACID,,Depilatories
THIOGLYCOLIC ACID,,Hair Rinse-Off Products
THIOGLYCOLIC ACID,,Products Intended For Eyelash Waving
THIOGLYCOLIC ACID ESTERS,,Hair Waving Or Straightening Products
OXALIC ACID,,Hair Products
AMMONIA,,
CHLORAMINE-T,,
POTASSIUM CHLORATE,,Toothpaste
POTASSIUM CHLORATE,,Other Products
SODIUM CHLORATE,,Toothpaste
SODIUM CHLORATE,,Other Products
P-PHENYLENEDIAMINE AND ITS SALTS,,Hair Dye Substance In Oxidative Hair Dye Products
P-PHENYLENEDIAMINE,,Products Intended For Colouring Eyelashes
P-PHENYLENEDIAMINE HCL,,Products Intended For Colouring Eyelashes
P-PHENYLENEDIAMINE SULPHATE,,Products Intended For Colouring Eyelashes
"N,N'-BIS(2-HYDROXYETHYL)-2-NITRO-P-PHENYLENEDIAMINE",,Hair Dye Substance In Oxidative Hair Dye Products
"N,N'-BIS(2-HYDROXYETHYL)-2-NITRO-P-PHENYLENEDIAMINE",,Hair Dye Substance In Non-Oxidative Hair Dye Products
N-SUBSTITUTED DERIVATIVES OF P- PHENYLENEDIAMINE AND THEIR SALTS,,Hair Dye Substance In Oxidative Hair Dye Products
"N- SUBSTITUTED DERIVATIVES OF O-PHENYLENEDIAMINE (1 ), WITH EXCEPTION OF THOSE DERIVATIVES LISTED ELSEWHERE IN THIS ANNEX AND UNDER REFERENCE NUMBERS 1309, 1311, AND 1312 IN ANNEX II",,Hair Dye Substance In Oxidative Hair Dye Products
"TOLUENE-2,5-DIAMINE 
TOLUENE-2,5-DIAMINE SULPHATE",,Products Intended For Colouring Eyelashes
"2,6-DIHYDROXYETHYLAMINOTOLUENE",,Hair Dye Substance In Oxidative Hair Dye Products
"METHYLPHENYLENEDIAMINES, THEIR N-SUBSTITUTED DERIVATIVES AND THEIR SALTS (1) WITH THE EXCEPTION OF THE SUBSTANCE UNDER REFERENCE NUMBER 9A IN THIS ANNEX AND SUBSTANCES UNDER REFERENCE NUMBERS 364, 1310 AND 1313 IN ANNEX II",,Hair Dye Substance In Oxidative Hair Dye Products
"METHYLPHENYLENEDIAMINES, THEIR N- SUBSTITUTED DERIVATIVES AND THEIR SALTS (1), WITH THE EXCEPTION OF THE SUBSTANCE LISTED UNDER REFERENCE NUMBERS 9 A AND 9 B OF THIS ANNEX AND THE SUBSTANCES LISTED UNDER REFERENCE NUMBERS 364, 413, 1144, 1310, 1313 AND 1507 OF ANNEX II",,Hair Dye Substance In Oxidative Hair Dye Products
DIAMINOPHENOLS (1),,Oxidising Colouring Agents For Hair Dyeing
DICHLOROPHEN,,
