brand,name,product_type,ingredient,price,rank
LA MER,Crème de la Mer,Moisturizer,ALGAE (SEAWEED) EXTRACT,175,4.1
LA MER,Crème de la Mer,Moisturizer,MINERAL OIL,175,4.1
LA MER,Crème de la Mer,Moisturizer,PETROLATUM,175,4.1
LA MER,Crème de la Mer,Moisturizer,GLYCERIN,175,4.1
LA MER,Crème de la Mer,Moisturizer,ISOHEXADECANE,175,4.1
LA MER,Crème de la Mer,Moisturizer,MICROCRYSTALLINE WAX,175,4.1
LA MER,Crème de la Mer,Moisturizer,LANOLIN ALCOHOL,175,4.1
LA MER,Crème de la Mer,Moisturizer,CITRUS AURANTIFOLIA (LIME) EXTRACT,175,4.1
LA MER,Crème de la Mer,Moisturizer,SESAMUM INDICUM (SESAME) SEED OIL,175,4.1
LA MER,Crème de la Mer,Moisturizer,EUCALYPTUS GLOBULUS (EUCALYPTUS) LEAF OIL,175,4.1
LA MER,Crème de la Mer,Moisturizer,SESAMUM INDICUM (SESAME) SEED POWDER,175,4.1
LA MER,Crème de la Mer,Moisturizer,MEDICAGO SATIVA (ALFALFA) SEED POWDER,175,4.1
LA MER,Crème de la Mer,Moisturizer,HELIANTHUS ANNUUS (SUNFLOWER) SEEDCAKE,175,4.1
LA MER,Crème de la Mer,Moisturizer,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) SEED MEAL,175,4.1
LA MER,Crème de la Mer,Moisturizer,SODIUM GLUCONATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,COPPER GLUCONATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,CALCIUM GLUCONATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,MAGNESIUM GLUCONATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,ZINC GLUCONATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,MAGNESIUM SULFATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,PARAFFIN,175,4.1
LA MER,Crème de la Mer,Moisturizer,TOCOPHERYL SUCCINATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,NIACIN,175,4.1
LA MER,Crème de la Mer,Moisturizer,WATER,175,4.1
LA MER,Crème de la Mer,Moisturizer,BETA-CAROTENE,175,4.1
LA MER,Crème de la Mer,Moisturizer,DECYL OLEATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,ALUMINUM DISTEARATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,OCTYLDODECANOL,175,4.1
LA MER,Crème de la Mer,Moisturizer,CITRIC ACID,175,4.1
LA MER,Crème de la Mer,Moisturizer,CYANOCOBALAMIN,175,4.1
LA MER,Crème de la Mer,Moisturizer,MAGNESIUM STEARATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,PANTHENOL,175,4.1
LA MER,Crème de la Mer,Moisturizer,LIMONENE,175,4.1
LA MER,Crème de la Mer,Moisturizer,GERANIOL,175,4.1
LA MER,Crème de la Mer,Moisturizer,LINALOOL,175,4.1
LA MER,Crème de la Mer,Moisturizer,HYDROXYCITRONELLAL,175,4.1
LA MER,Crème de la Mer,Moisturizer,CITRONELLOL,175,4.1
LA MER,Crème de la Mer,Moisturizer,BENZYL SALICYLATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,CITRAL,175,4.1
LA MER,Crème de la Mer,Moisturizer,SODIUM BENZOATE,175,4.1
LA MER,Crème de la Mer,Moisturizer,ALCOHOL DENAT,175,4.1
LA MER,Crème de la Mer,Moisturizer,FRAGRANCE,175,4.1
SK-II,Facial Treatment Essence,Moisturizer,GALACTOMYCES FERMENT FILTRATE (PITERA),179,4.1
SK-II,Facial Treatment Essence,Moisturizer,BUTYLENE GLYCOL,179,4.1
SK-II,Facial Treatment Essence,Moisturizer,PENTYLENE GLYCOL,179,4.1
SK-II,Facial Treatment Essence,Moisturizer,WATER,179,4.1
SK-II,Facial Treatment Essence,Moisturizer,SODIUM BENZOATE,179,4.1
SK-II,Facial Treatment Essence,Moisturizer,METHYLPARABEN,179,4.1
SK-II,Facial Treatment Essence,Moisturizer,SORBIC ACID,179,4.1
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,WATER,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,DICAPRYLYL CARBONATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,GLYCERIN,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,CETEARYL ALCOHOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,CETEARYL OLIVATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SORBITAN OLIVATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SCLEROCARYA BIRREA SEED OIL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,BACILLUS/SOYBEAN/ FOLIC ACID FERMENT EXTRACT,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,NYMPHAEA ALBA ROOT EXTRACT,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SH-OLIGOPEPTIDE-1,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SH-OLIGOPEPTIDE-2,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SH-POLYPEPTIDE-1,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SH-POLYPEPTIDE-9,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SH-POLYPEPTIDE-11,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,COPPER PALMITOYL HEPTAPEPTIDE-14,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,HEPTAPEPTIDE-15 PALMITATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PALMITOYL TETRAPEPTIDE-7,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PALMITOYL TRIPEPTIDE-1,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,ALANINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,ARGININE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,GLYCINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,HISTIDINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,ISOLEUCINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PHENYLALANINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PROLINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SERINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,THREONINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,VALINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,ACETYL GLUTAMINE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,COCONUT ALKANES,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,COCO-CAPRYLATE/CAPRATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SODIUM HYALURONATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,ASPARTIC ACID,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,LINOLEIC ACID,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,LINOLENIC ACID,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,LECITHIN,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,BUTYLENE GLYCOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,POLYVINYL ALCOHOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SODIUM LACTATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SODIUM PCA,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PCA,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SORBITAN ISOSTEARATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,CARBOMER,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,POLYSORBATE 20,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,POLYSORBATE 60,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,LACTIC ACID/GLYCOLIC ACID COPOLYMER,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,XANTHAN GUM,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,ISOMALT,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,1,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,2-HEXANEDIOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,CAPRYLYL GLYCOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,CHLORPHENESIN,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PHENOXYETHANOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,TOCOPHEROL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SODIUM BENZOATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,PHENYLPROPANOL,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,GLYCERYL CAPRYLATE,68,4.4
DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,SYMPHYTUM OFFICINALE CALLUS CULTURE EXTRACT,68,4.4
LA MER,The Moisturizing Soft Cream,Moisturizer,ALGAE (SEAWEED) EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CYCLOPENTASILOXANE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PETROLATUM,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLYCERYL DISTEARATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PHENYL TRIMETHICONE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,BUTYLENE GLYCOL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,HYDROGENATED VEGETABLE OIL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CHOLESTEROL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,BUTYROSPERMUM PARKII (SHEA BUTTER),175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,STEARETH-10,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,DIMETHICONE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLYCERYL STEARATE SE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,POLYSILICONE-11,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SESAMUM INDICUM (SESAME) SEED OIL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,MEDICAGO SATIVA (ALFALFA) SEED POWDER,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,HELIANTHUS ANNUUS (SUNFLOWER) SEEDCAKE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) SEED MEAL,175,3.8
