product_name,brand,ingredients_text,categories,country,barcode,source
,,"Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Citrate, Sodium Xylenesulfonate, Parfum, Citric Acid, Sodium Benzoate, Hydroxypropyl Methylcellulose, Tetrasodium EDTA, Linalool, Sodium Hydroxide, Limonene, Hexyl Cinnamal, Geraniol, Propylene Glycol, Hydroxycitronellal, Glycerin, Histidine, Butylene Glycol, Magnesium Nitrate, Eucalyptus Radiata Extract, Aloe Barbadensis Leaf Juice, Niacinamide, Alcohol Denat, Alpinia Galanga Rhizome Extract, Betula Alba Bark Extract, Methylchloroisothiazolinone, Potassium Sorbate, Magnesium Chloride, Phenoxyethanol, Methylisothiazolinone",Produits cosmetics cheveux,en:Morocco,8001090944634,open_beauty_facts_api
Primeal penne,INGRID COSMETICS,semoule demi-complète de blé dur*. *issue de l'agriculture biologique. Peut contenir des traces d'œuf.,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pâtes alimentaires,Pâtes alimentaires de céréales,Pâtes sèches,Pâtes de blé dur,Penne de blé dur",France,3380390185455,open_beauty_facts_api
2 Panés de Merlan Océan Atlantique,INGRID COSMETICS,"Merlan (Merlangius merlangus) 61,5% - chapelure 12% (farine de blé, levure, sel, épices) - huile de tournesol - eau - amidon transformé de manioc - farine de blé - poudre de blanc d’œuf - gluten de blé - sel - poudre de citron aromatisée (poudre de citron, maltodextrine, arôme naturel) - fumet de poisson aromatisé (maltodextrine, fécule de pomme de terre, poisson et extrait de poisson, amidon de maïs, oignon, huile de tournesol, ail, gélifiant : gomme guar, épices) - dextrose - poudre à lever : bicarbonate de sodium.","Produits de la mer, Poissons et dérivés, Poissons, Plats préparés, Préparations de poisson, Plats préparés au poisson, Produits panés, Poissons panés, Poissons panés de merlan",France,3350030189228,open_beauty_facts_api
Ananas Citron Vert Gingembre,INGRID COSMETICS,"Jus d'ananas 45% - jus de pomme - jus de raisin - jus de citron vert 1% - purée de gingembre 0,6%.","Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus multifruits",France,3350033403888,open_beauty_facts_api
Chutes de truite fumée,INGRID COSMETICS,"_Truite_ Arc-en-ciel (Oncorhynchus mykiss) 95,4 %, sel 4,6 %.","Produits de la mer, Poissons et dérivés, Poissons, Poissons gras, Poissons fumés, Truites, Truites fumées",France,3392780002990,open_beauty_facts_api
"Barres de Céréales Chocolat, ecorce d'orange",INGRID COSMETICS,"Ingrédients Céréales (47 %) (riz*, blé*, avoine*, sucre de canne blond*, sirop de malt d'orge*, sel de mer); sirop de blé*; pépites de chocolat équitable* (12 %) (pâte de cacao*, sucre de canne roux*, beurre de cacao*); écorces d'orange confites* (8 %) ; miel* ; huile de tournesol oléique désodorisée (antioxydant : extrait de romarin*); noisettes* ; gomme d'acacia* ; huile essentielle d'orange*. *Ingrédients issus de l’agriculture biologique","Snacks, Snacks sucrés, Barres, Barres de céréales",France,3423720008052,open_beauty_facts_api
Filet De Hareng Doux,INGRID COSMETICS,"Hareng 95,5% (Clupea harengus pêché en Atlantique Nord-Est FAO 27 : Mer de Norvège, mer du Nord, Islande et Féroé, mer Celtique et Manche avec chaluts, filets maillant, similaires, tournants et soulevés, sennes), sel 4,5%.","Produits de la mer, Poissons et dérivés, Poissons, Poissons gras, Filets de poissons, Harengs, Poissons fumés, Harengs fumés, Filets de harengs",France,3444940000404,open_beauty_facts_api
Sandwich Triangle Tomate Basilic Mozzarella,INGRID COSMETICS,"Pain de mie au blé malté 44% [farine de blé, eau, flocons de blé malté toasté 3,1%, graines (tournesol, millet, pavot, lin brun), gluten de blé, huile de colza, flocons de seigle malté, sel, levure, dextrose, vinaigre d'alcool, sucre, émulsifiants : E471 et E472e, farine d'orge malté toasté, malté toréfié, arôme naturel, agent de traitement de la farine : E300] - mozzarella 21% (lait de vache pasteurisé, sel, coagulant microbien, acidifiant : E330) - sauce au basilic 13% (fromage frais, basilic 2,9%, fromage blanc, fromage Parmigiano reggiano, huile d'olive vierge extra, ail déshydraté, amidon transformé, sel) - tomate 13% - roquette - beurre.","Sandwichs, Sandwichs au fromage, Sandwichs à la mozzarella",France,3350030148270,open_beauty_facts_api
Gourmet - Tagliatelles à la farine de blé tendre et à la semoule de blé dur,INGRID COSMETICS,"Farine de BLÉ tendre 56,8% origine UE / non UE) - OEUFS 15% (soit 209 g d'OEUFS par kg de farine et semoule) - semoule de BLÉ dur 14,7% - eau. Traces de LAIT et SOJA.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Tagliatelles",France,3350030204112,open_beauty_facts_api
Crêpes dentelle fourrées au cheddar,INGRID COSMETICS,"Farine de BLÉ - huile et graisse végétales (colza, coprah) - maltodextrine - FROMAGE CHEDDAR fondu en poudre 12% (FROMAGE CHEDDAR, sels de fonte : E339) - CRÈME en poudre - BEURRE concentré - sirop de glucose - extrait de MALT D'ORGE - sel - extrait de levure - arôme naturel de poivre - émulsifiant : E322 - colorants : E160c et E160a - acidifiant : E330. Traces d'OEUF, de POISSON, de FRUITS À COQUE, de SOJA et de CÉLERI.","snacks, snacks-sales, snacks-sucres, amuse-gueules, biscuits-et-gateaux, biscuits, biscuits-aperitifs",France,3350031507649,open_beauty_facts_api
Saveur Citron Citron Vert,INGRID COSMETICS,"Eau de source drômeline (99,7%) - acidifiant : acide citrique - arôme naturel de citron - citron vert - arôme naturel de citron.","Boissons,Eaux,Eaux aromatisées,Eaux aromatisées sans sucre ajouté",France,3350031597350,open_beauty_facts_api
Soja_ dessert brassé au bifidus_myrtilles groseilles,INGRID COSMETICS,"Tonyu (eau, soja sans OGM 12%), fruits 10,4% (myrtilles 8,8%, groseilles 1,6%), sucre de canne 9,6%, épaississant des fruits : agar-agar, algue marine Lithothamnium calcareum, ferments sélectionnés dont Bifidus.","Aliments et boissons à base de végétaux, Substituts de produits laitiers, Desserts, Desserts végétaliens",France,3375610000205,open_beauty_facts_api
CHORIZO SARTA,INGRID COSMETICS,"Viande de porc 70%, Graisse de porc 30%, Ail, Paprika, Origan, Sel marin.","Viandes et dérivés, Viandes, Charcuteries, Saucissons, Chorizo",France,3396410047467,open_beauty_facts_api
